material,density,melting,young_modulus
Copper,8.9,1083.0,110.0
Aluminum,2.65,660.0,68.0
Iron,7.85,1538.0,210.0
Steel,7.85,1538.0,207.0
Ceramic,3.0,1580.0,90.0
Polyester,1.1,190.0,2.5
